Greedy maximum matching
Matching size: 201
Matching weight: 1532
Matching profile: (32,23,19,15,8,11,8,8,12,6,6,4,2,9,7,7,6,3,6,4,2,2,0,1)
Applicant  Assigned post  Rank
1235           0         1      
1236           0         1      
1237           0         1      
1238           0         1      
1239           0         1      
1240           0         1      
1241           0         1      
1242           0         1      
1243           0         1      
1244           0         1      
1245           0         1      
1246           0         1      
1247           0         1      
1248           0         1      
1249           0         1      
1250           0         1      
1251           0         1      
1252           0         1      
1253           0         1      
1254           0         1      
1255           0         1      
1256           0         1      
1257           0         1      
1258           0         1      
1259           0         1      
1260           0         1      
1261           0         1      
1262           0         1      
1263           0         1      
1264           0         1      
1265           0         1      
1266           0         1      
1267           0         1      
1268           0         1      
1269           0         1      
1270           0         1      
1271           0         1      
1272           0         1      
1273           0         1      
1274           0         1      
1275           0         1      
1276           0         1      
1277           0         1      
1278           0         1      
1279           0         1      
1280           0         1      
1281           0         1      
1282           0         1      
1283           0         1      
1284           0         1      
1285           0         1      
1286           0         1      
1287           0         1      
1288           0         1      
1289           0         1      
1290           0         1      
1291           0         1      
1292           0         1      
1293           0         1      
1294           0         1      
1295           0         1      
1296           0         1      
1297           0         1      
1298           0         1      
1299           0         1      
1300           0         1      
1301           0         1      
1302           0         1      
1303           0         1      
1304           0         1      
1305           0         1      
1306           0         1      
1307           0         1      
1308           0         1      
1309           0         1      
1310           0         1      
1311           0         1      
1312           0         1      
1313           0         1      
1314           0         1      
1315           0         1      
1316           0         1      
1317           0         1      
1318           0         1      
1319           0         1      
1320           0         1      
1321           0         1      
1322           0         1      
1323           0         1      
1324           0         1      
1325           0         1      
1326           0         1      
1327           0         1      
1328           0         1      
1329           0         1      
1330           0         1      
1331           0         1      
1332           0         1      
1333           0         1      
1334           0         1      
1335           0         1      
1336           0         1      
1337           0         1      
1338           0         1      
1339           0         1      
1340           0         1      
1341           0         1      
1342           0         1      
1343           0         1      
1344           0         1      
1345           0         1      
1346           0         1      
1347           0         1      
1348           0         1      
1349           0         1      
1350           0         1      
1351           0         1      
1352           0         1      
1353           0         1      
1354           0         1      
1355           0         1      
1356           0         1      
1357           0         1      
1358           0         1      
1359           0         1      
1360           0         1      
1361           0         1      
1362           0         1      
1363           0         1      
1364           0         1      
1365           0         1      
1366           0         1      
1367           0         1      
1368           0         1      
1369           0         1      
1370           0         1      
1371           0         1      
1372           0         1      
1373           0         1      
1374           0         1      
1375           0         1      
1376           0         1      
1377           0         1      
1378           0         1      
1379           0         1      
1380           0         1      
1381           0         1      
1382           0         1      
1383           0         1      
1384           0         1      
1385           0         1      
1386           0         1      
1387           0         1      
1388           0         1      
1389           0         1      
1390           0         1      
1391           0         1      
1392           0         1      
1393           0         1      
1394           0         1      
1395           0         1      
1396           0         1      
1397           0         1      
1398           0         1      
1399           0         1      
1400           0         1      
1401           0         1      
1402           0         1      
1403           0         1      
1404           0         1      
1405           0         1      
1406           0         1      
1407           0         1      
1408           0         1      
1409           0         1      
1410           0         1      
1411           0         1      
1412           0         1      
1413           0         1      
1414           0         1      
1415           0         1      
1416           0         1      
1417           0         1      
1418           0         1      
1419           0         1      
1420           0         1      
1421           0         1      
1422           0         1      
1423           0         1      
1424           0         1      
1425           0         1      
1426           0         1      
1427           0         1      
1428           0         1      
1429           0         1      
1430           0         1      
1431           0         1      
1432           0         1      
1433           0         1      
1434           0         1      
1435           0         1      
1436           0         1      
1437           0         1      
1438           0         1      
1439           0         1      
1440           0         1      
1441           0         1      
1442           0         1      
1443           0         1      
1444           0         1      
1445           0         1      
1446           0         1      
1447           0         1      
1448           0         1      
1449           0         1      
1450           0         1      
1451           0         1      
1452           0         1      
1453           0         1      
1454           0         1      
1455           0         1      
1456           0         1      
1457           0         1      
1458           0         1      
1459           0         1      
1460           0         1      
1461           0         1      
1462           0         1      
1463           0         1      
1464           0         1      
1465           0         1      
1466           0         1      
1467           0         1      
1468           0         1      
1469           0         1      
1470           0         1      
1471           0         1      
1472           0         1      
1473           0         1      
1474           0         1      
1475           0         1      
1476           0         1      
1477           0         1      
1478           0         1      
1479           0         1      
1480           0         1      
1481           0         1      
1482           0         1      
1483           0         1      
1484           0         1      
1485           0         1      
1486           0         1      
1487           0         1      
1488           0         1      
1489           0         1      
1490           0         1      
1491           0         1      
1492           0         1      
1493           0         1      
1494           0         1      
1495           0         1      
1496           0         1      
1497           0         1      
1498           0         1      
1499           0         1      
1500           0         1      
1501           0         1      
1502           0         1      
1503           0         1      
1504           0         1      
1505           0         1      
1506           0         1      
1507           0         1      
1508           0         1      
1509           0         1      
1510           0         1      
1511           0         1      
1512           0         1      
1513           0         1      
1514           0         1      
1515           0         1      
1516           0         1      
1517           0         1      
1518           0         1      
1519           0         1      
1520           0         1      
1521           0         1      
1522           0         1      
1523           0         1      
1524           0         1      
1525           0         1      
1526           0         1      
1527           0         1      
1528           0         1      
1529           0         1      
1530           0         1      
1531           0         1      
1532           0         1      
1533           0         1      
1534           0         1      
1535           0         1      
1536           0         1      
1537           0         1      
1538           0         1      
1539           0         1      
1540           0         1      
1541           0         1      
1542           0         1      
1543           0         1      
1544           0         1      
1545           0         1      
1546           0         1      
1547           0         1      
1548           0         1      
1549           0         1      
1550           0         1      
1551           0         1      
1552           0         1      
1553           0         1      
1554           0         1      
1555           0         1      
1556           0         1      
1557           0         1      
1558           0         1      
1559           0         1      
1560           0         1      
1561           0         1      
1562           0         1      
1563           0         1      
1564           0         1      
1565           0         1      
1566           0         1      
1567           0         1      
1568           0         1      
1569           0         1      
1570           0         1      
1571           0         1      
1572           0         1      
1573           0         1      
1574           0         1      
1575           0         1      
1576           0         1      
1577           0         1      
1578           0         1      
1579           0         1      
1580           0         1      
1581           0         1      
1582           0         1      
1583           0         1      
1584           0         1      
1585           0         1      
1586           0         1      
1587           0         1      
1588           0         1      
1589           0         1      
1590           0         1      
1591           0         1      
1592           0         1      
1593           0         1      
1594           0         1      
1595           0         1      
1596           0         1      
1597           0         1      
1598           0         1      
1599           0         1      
1600           0         1      
1601           0         1      
1602           0         1      
1603           0         1      
1604           0         1      
1605           0         1      
1606           0         1      
1607           0         1      
1608           0         1      
1609           0         1      
1610           0         1      
1611           0         1      
1612           0         1      
1613           0         1      
1614           0         1      
1615           0         1      
1616           0         1      
1617           0         1      
1618           0         1      
1619           0         1      
1620           0         1      
1621           0         1      
1622           0         1      
1623           0         1      
1624           0         1      
1625           0         1      
1626           0         1      
1627           0         1      
1628           0         1      
1629           0         1      
1630           0         1      
1631           0         1      
1632           0         1      
1633           0         1      
1634           0         1      
1635           0         1      
1636           0         1      
1637           0         1      
1638           0         1      
1639           0         1      
1640           0         1      
1641           0         1      
1642           0         1      
1643           0         1      
1644           0         1      
1645           0         1      
1646           0         1      
1647           0         1      
1648           0         1      
1649           0         1      
1650           0         1      
1651           0         1      
1652           0         1      
1653           0         1      
1654           0         1      
1655           0         1      
1656           0         1      
1657           0         1      
1658           0         1      
1659           0         1      
1660           0         1      
1661           0         1      
1662           0         1      
1663           0         1      
1664           0         1      
1665           0         1      
1666           0         1      
1667           0         1      
1668           0         1      
1669           0         1      
1670           0         1      
1671           0         1      
1672           0         1      
1673           0         1      
1674           0         1      
1675           0         1      
1676           0         1      
1677           0         1      
1678           0         1      
1679           0         1      
1680           0         1      
1681           0         1      
1682           0         1      
1683           0         1      
1684           0         1      
1685           0         1      
1686           0         1      
1687           0         1      
1688           0         1      
1689           0         1      
1690           0         1      
1691           0         1      
1692           0         1      
1693           0         1      
1694           0         1      
1695           0         1      
1696           0         1      
1697           0         1      
1698           0         1      
1699           0         1      
1700           0         1      
1701           0         1      
1702           0         1      
1703           0         1      
1704           0         1      
1705           0         1      
1706           0         1      
1707           0         1      
1708           0         1      
1709           0         1      
1710           0         1      
1711           0         1      
1712           0         1      
1713           0         1      
1714           0         1      
1715           0         1      
1716           0         1      
1717           0         1      
1718           0         1      
1719           0         1      
1720           0         1      
1721           0         1      
1722           0         1      
1723           0         1      
1724           0         1      
1725           0         1      
1726           0         1      
1727           0         1      
1728           0         1      
1729           0         1      
1730           0         1      
1731           0         1      
1732           0         1      
1733           0         1      
1734           0         1      
1735           0         1      
1736           0         1      
1737           0         1      
1738           0         1      
1739           0         1      
1740           0         1      
1741           0         1      
1742           0         1      
1743           0         1      
1744           0         1      
1745           0         1      
1746           0         1      
1747           0         1      
1748           0         1      
1749           0         1      
1750           0         1      
1751           0         1      
1752           0         1      
1753           0         1      
1754           0         1      
1755           0         1      
1756           0         1      
1757           0         1      
1758           0         1      
1759           0         1      
1760           0         1      
1761           0         1      
1762           0         1      
1763           0         1      
1764           0         1      
1765           0         1      
1766           0         1      
1767           0         1      
1768           0         1      
1769           0         1      
1770           0         1      
1771           0         1      
1772           0         1      
1773           0         1      
1774           0         1      
1775           0         1      
1776           0         1      
1777           0         1      
1778           0         1      
1779           0         1      
1780           0         1      
1781           0         1      
1782           0         1      
1783           0         1      
1784           0         1      
1785           0         1      
1786           0         1      
1787           0         1      
1788           0         1      
1789           0         1      
1790           0         1      
1791           0         1      
1792           0         1      
1793           0         1      
1794           0         1      
1795           0         1      
1796           0         1      
1797           0         1      
1798           0         1      
1799           0         1      
1800           0         1      
1801           0         1      
1802           0         1      
1803           0         1      
1804           0         1      
1805           0         1      
1806           0         1      
1807           0         1      
1808           0         1      
1809           0         1      
1810           0         1      
1811           0         1      
1812           0         1      
1813           0         1      
1814           0         1      
1815           0         1      
1816           0         1      
1817           0         1      
1818           0         1      
1819           0         1      
1820           0         1      
1821           0         1      
1822           0         1      
1823           0         1      
1824           0         1      
1825           0         1      
1826           0         1      
1827           0         1      
1828           0         1      
1829           0         1      
1830           0         1      
1831           0         1      
1832           0         1      
1833           0         1      
1834           0         1      
1835           0         1      
1836           0         1      
1837           0         1      
1838           0         1      
1839           0         1      
1840           0         1      
1841           0         1      
1842           0         1      
1843           0         1      
1844           0         1      
1845           0         1      
1846           0         1      
1847           0         1      
1848           0         1      
1849           0         1      
1850           0         1      
1851           0         1      
1852           0         1      
1853           0         1      
1854           0         1      
1855           0         1      
1856           0         1      
1857           0         1      
1858           0         1      
1859           0         1      
1860           0         1      
1861           0         1      
1862           0         1      
1863           0         1      
1864           0         1      
1865           0         1      
1866           0         1      
1867           0         1      
1868           0         1      
1869           0         1      
1870           0         1      
1871           0         1      
1872           0         1      
1873           0         1      
1874           0         1      
1875           0         1      
1876           0         1      
1877           0         1      
1878           0         1      
1879           0         1      
1880           0         1      
1881           0         1      
1882           0         1      
1883           0         1      
1884           0         1      
1885           0         1      
1886           0         1      
1887           0         1      
1888           0         1      
1889           0         1      
1890           0         1      
1891           0         1      
1892           0         1      
1893           0         1      
1894           0         1      
1895           0         1      
1896           0         1      
1897           0         1      
1898           0         1      
1899           0         1      
1900           0         1      
1901           0         1      
1902           0         1      
1903           0         1      
1904           0         1      
1905           0         1      
1906           0         1      
1907           0         1      
1908           0         1      
1909           0         1      
1910           0         1      
1911           0         1      
1912           0         1      
1913           0         1      
1914           0         1      
1915           0         1      
1916           0         1      
1917           0         1      
1918           0         1      
1919           0         1      
1920           0         1      
1921           0         1      
1922           0         1      
1923           0         1      
1924           0         1      
1925           0         1      
1926           0         1      
1927           0         1      
1928           0         1      
1929           0         1      
1930           0         1      
1931           0         1      
1932           0         1      
1933           0         1      
1934           0         1      
1935           0         1      
1936           0         1      
1937           0         1      
1938           0         1      
1939           0         1      
1940           0         1      
1941           0         1      
1942           0         1      
1943           0         1      
1944           0         1      
1945           0         1      
1946           0         1      
1947           0         1      
1948           0         1      
1949           0         1      
1950           0         1      
1951           0         1      
1952           0         1      
1953           0         1      
1954           0         1      
1955           0         1      
1956           0         1      
1957           0         1      
1958           0         1      
1959           0         1      
1960           0         1      
1961           0         1      
1962           0         1      
1963           0         1      
1964           0         1      
1965           0         1      
1966           0         1      
1967           0         1      
1968           0         1      
1969           0         1      
1970           0         1      
1971           0         1      
1972           0         1      
1973           0         1      
1974           0         1      
1975           0         1      
1976           0         1      
1977           0         1      
1978           0         1      
1979           0         1      
1980           0         1      
1981           0         1      
1982           0         1      
1983           0         1      
1984           0         1      
1985           0         1      
1986           0         1      
1987           0         1      
1988           0         1      
1989           0         1      
1990           0         1      
1991           0         1      
1992           0         1      
1993           0         1      
1994           0         1      
1995           0         1      
1996           0         1      
1997           0         1      
1998           0         1      
1999           0         1      
2000           0         1      


Generous maximum matching
Matching size: 201
Matching weight: 1448
Matching profile: (12,11,20,20,13,20,15,17,15,14,12,9,8,7,2,3,2,0,1)
Applicant  Assigned post  Rank
   1           187          1
   2           107          9
   3           159          3
   4           152          4
   5           166         13
   6            83          6
   7           102         11
   8             7          4
   9            15          5
  10            20          6
  11           147         19
  12            80         10
  13           146         17
  14            74          2
  15           185          4
  16           186          5
  17           136          6
  18           189          7
  19           197          9
  20            53          3
  21            98         10
  22           161         13
  23            17          6
  24           113          7
  25            31          8
  26            50         10
  27            85          3
  28           188         14
  29            60         11
  30            37          9
  31            10         16
  32           156         15
  33           125         13
  34            82          3
  35           137         14
  36           121         11
  37           164          6
  38           173          7
  39            77          8
  40             9          4
  41            32         11
  42            65         13
  43           138         16
  44           117         15
  45           157         10
  46           112          9
  47           168          1
  48           142          2
  49           195         11
  50            71          4
  51            36          6
  52            92          9
  53            76          4
  54            43          6
  55            30          8
  56            18          3
  57            35          5
  58            75          8
  59           110          3
  60            57          5
  61            45         12
  62            24          3
  63            29          4
  64           105         10
  65            51          1
  66           176          9
  67            34          8
  68             5          4
  69           151         14
  70            44          6
  71           106          6
  72            48          2
  73           141          3
  74           153          4
  75           163          1
  76           123          4
  77            14         12
  78           104          3
  79            68          6
  80           126          8
  81            22         13
  82           169          7
  83           116          9
  84           202          4
  85           109          6
  86           131          1
  87           170          7
  88           111          5
  89            69         14
  90           144          8
  91           190         11
  92            11          5
  93           124          3
  94           140          5
  95             1          3
  96            21          4
  97           130          7
  98            52          6
  99            59          8
 100           162         10
 101           150          9
 102           115         12
 103           172         13
 104            89          2
 105           196          3
 106            72         12
 107            19          7
 108            33          9
 109            58         10
 110            62         11
 111            13          6
 112            25          8
 113            81         13
 114           119         12
 115           103          3
 116           184         11
 117            79          9
 118           165         10
 119           134          8
 120             4         11
 121           198          4
 122           192          2
 123            55          9
 124           143          6
 125           128         13
 126           139          7
 127            27          2
 128           129          7
 129           120         14
 130            54          4
 131           183         11
 132           167          9
 133            97          1
 134           178         14
 135           182          7
 136           148          4
 137           174          5
 138           181          6
 139            56         10
 140            64         12
 141            63          3
 142            70          4
 143           177         14
 144           114          8
 145            99         11
 146           155          3
 147           199         10
 148           118          5
 149            87         12
 150            41         17
 151           180          8
 152            84          1
 153            28          4
 154            67          5
 155           158          7
 156           179          9
 157           175          8
 158           133          1
 159           149         12
 160           201          6
 161           135          2
 162           145          5
 163            23          8
 164             8          7
 165           200          6
 166            38          9
 167           194          5
 168            46         11
 169            16          7
 170            96          4
 171            40         10
 172            90          2
 173            47         12
 174            86          1
 175            91          3
 176            73         16
 177           193         10
 178           171          8
 179           108          3
 180            66          6
 181             2          2
 182             3          3
 183           127          8
 184           122          7
 185             6          9
 186            94          5
 187            26         10
 188            95          6
 189            93          4
 190            88          1
 191            78          1
 192            49          4
 193            12          2
 194           154          8
 195           191          3
 196           160          7
 197           132         10
 198            61          6
 199            39          2
 200            42          3
 201           203          1

Post  Places filled Capacity          Assignees
  1           1         1          95
  2           1         1         181
  3           1         1         182
  4           1         1         120
  5           1         1          68
  6           1         1         185
  7           1         1           8
  8           1         1         164
  9           1         1          40
 10           1         1          31
 11           1         1          92
 12           1         1         193
 13           1         1         111
 14           1         1          77
 15           1         1           9
 16           1         1         169
 17           1         1          23
 18           1         1          56
 19           1         1         107
 20           1         1          10
 21           1         1          96
 22           1         1          81
 23           1         1         163
 24           1         1          62
 25           1         1         112
 26           1         1         187
 27           1         1         127
 28           1         1         153
 29           1         1          63
 30           1         1          55
 31           1         1          25
 32           1         1          41
 33           1         1         108
 34           1         1          67
 35           1         1          57
 36           1         1          51
 37           1         1          30
 38           1         1         166
 39           1         1         199
 40           1         1         171
 41           1         1         150
 42           1         1         200
 43           1         1          54
 44           1         1          70
 45           1         1          61
 46           1         1         168
 47           1         1         173
 48           1         1          72
 49           1         1         192
 50           1         1          26
 51           1         1          65
 52           1         1          98
 53           1         1          20
 54           1         1         130
 55           1         1         123
 56           1         1         139
 57           1         1          60
 58           1         1         109
 59           1         1          99
 60           1         1          29
 61           1         1         198
 62           1         1         110
 63           1         1         141
 64           1         1         140
 65           1         1          42
 66           1         1         180
 67           1         1         154
 68           1         1          79
 69           1         1          89
 70           1         1         142
 71           1         1          50
 72           1         1         106
 73           1         1         176
 74           1         1          14
 75           1         1          58
 76           1         1          53
 77           1         1          39
 78           1         1         191
 79           1         1         117
 80           1         1          12
 81           1         1         113
 82           1         1          34
 83           1         1           6
 84           1         1         152
 85           1         1          27
 86           1         1         174
 87           1         1         149
 88           1         1         190
 89           1         1         104
 90           1         1         172
 91           1         1         175
 92           1         1          52
 93           1         1         189
 94           1         1         186
 95           1         1         188
 96           1         1         170
 97           1         1         133
 98           1         1          21
 99           1         1         145
100           0         1      
101           0         1      
102           1         1           7
103           1         1         115
104           1         1          78
105           1         1          64
106           1         1          71
107           1         1           2
108           1         1         179
109           1         1          85
110           1         1          59
111           1         1          88
112           1         1          46
113           1         1          24
114           1         1         144
115           1         1         102
116           1         1          83
117           1         1          44
118           1         1         148
119           1         1         114
120           1         1         129
121           1         1          36
122           1         1         184
123           1         1          76
124           1         1          93
125           1         1          33
126           1         1          80
127           1         1         183
128           1         1         125
129           1         1         128
130           1         1          97
131           1         1          86
132           1         1         197
133           1         1         158
134           1         1         119
135           1         1         161
136           1         1          17
137           1         1          35
138           1         1          43
139           1         1         126
140           1         1          94
141           1         1          73
142           1         1          48
143           1         1         124
144           1         1          90
145           1         1         162
146           1         1          13
147           1         1          11
148           1         1         136
149           1         1         159
150           1         1         101
151           1         1          69
152           1         1           4
153           1         1          74
154           1         1         194
155           1         1         146
156           1         1          32
157           1         1          45
158           1         1         155
159           1         1           3
160           1         1         196
161           1         1          22
162           1         1         100
163           1         1          75
164           1         1          37
165           1         1         118
166           1         1           5
167           1         1         132
168           1         1          47
169           1         1          82
170           1         1          87
171           1         1         178
172           1         1         103
173           1         1          38
174           1         1         137
175           1         1         157
176           1         1          66
177           1         1         143
178           1         1         134
179           1         1         156
180           1         1         151
181           1         1         138
182           1         1         135
183           1         1         131
184           1         1         116
185           1         1          15
186           1         1          16
187           1         1           1
188           1         1          28
189           1         1          18
190           1         1          91
191           1         1         195
192           1         1         122
193           1         1         177
194           1         1         167
195           1         1          49
196           1         1         105
197           1         1          19
198           1         1         121
199           1         1         147
200           1         1         165
201           1         1         160
202           1         1          84
203           1         1         201
204           0         1      
205           0         1      
206           0         1      
207           0         1      
208           0         1      
209           0         1      
210           0         1      
211           0         1      
212           0         1      
213           0         1      
214           0         1      
215           0         1      
216           0         1      
217           0         1      
218           0         1      
219           0         1      
220           0         1      
221           0         1      
222           0         1      
223           0         1      
224           0         1      
225           0         1      
226           0         1      
227           0         1      
228           0         1      
229           0         1      
230           0         1      
231           0         1      
232           0         1      
233           0         1      
234           0         1      
235           0         1      
236           0         1      
237           0         1      
238           0         1      
239           0         1      
240           0         1      
241           0         1      
242           0         1      
243           0         1      
244           0         1      
245           0         1      
246           0         1      
247           0         1      
248           0         1      
249           0         1      
250           0         1      
251           0         1      
252           0         1      
253           0         1      
254           0         1      
255           0         1      
256           0         1      
257           0         1      
258           0         1      
259           0         1      
260           0         1      
261           0         1      
262           0         1      
263           0         1      
264           0         1      
265           0         1      
266           0         1      
267           0         1      
268           0         1      
269           0         1      
270           0         1      
271           0         1      
272           0         1      
273           0         1      
274           0         1      
275           0         1      
276           0         1      
277           0         1      
278           0         1      
279           0         1      
280           0         1      
281           0         1      
282           0         1      
283           0         1      
284           0         1      
285           0         1      
286           0         1      
287           0         1      
288           0         1      
289           0         1      
290           0         1      
291           0         1      
292           0         1      
293           0         1      
294           0         1      
295           0         1      
296           0         1      
297           0         1      
298           0         1      
299           0         1      
300           0         1      
301           0         1      
302           0         1      
303           0         1      
304           0         1      
305           0         1      
306           0         1      
307           0         1      
308           0         1      
309           0         1      
310           0         1      
311           0         1      
312           0         1      
313           0         1      
314           0         1      
315           0         1      
316           0         1      
317           0         1      
318           0         1      
319           0         1      
320           0         1      
321           0         1      
322           0         1      
323           0         1      
324           0         1      
325           0         1      
326           0         1      
327           0         1      
328           0         1      
329           0         1      
330           0         1      
331           0         1      
332           0         1      
333           0         1      
334           0         1      
335           0         1      
336           0         1      
337           0         1      
338           0         1      
339           0         1      
340           0         1      
341           0         1      
342           0         1      
343           0         1      
344           0         1      
345           0         1      
346           0         1      
347           0         1      
348           0         1      
349           0         1      
350           0         1      
351           0         1      
352           0         1      
353           0         1      
354           0         1      
355           0         1      
356           0         1      
357           0         1      
358           0         1      
359           0         1      
360           0         1      
361           0         1      
362           0         1      
363           0         1      
364           0         1      
365           0         1      
366           0         1      
367           0         1      
368           0         1      
369           0         1      
370           0         1      
371           0         1      
372           0         1      
373           0         1      
374           0         1      
375           0         1      
376           0         1      
377           0         1      
378           0         1      
379           0         1      
380           0         1      
381           0         1      
382           0         1      
383           0         1      
384           0         1      
